storenum,storename,telephone,address1,address2,city,state,zipcode,zipcode4,longitude,latitude,website,orgname
2850,CVS - 1142,585-671-5665,1900 EMPIRE BOULEVARD,NA,WEBSTER,NY,14580,1934,-77.501365,43.191229,HTTP://WWW.CVS.COM,CVS ALBANY LLC
2849,CVS - 2067,585-321-2581,2580 EAST HENRIETTA ROAD,NA,ROCHESTER,NY,14623,4526,-77.606816,43.069235,HTTP://WWW.CVS.COM,CVS ALBANY LLC
2852,CVS - 2217,585-723-3051,878 LONG POND ROAD,NA,GREECE,NY,14612,3049,-77.695905,43.238923,HTTP://WWW.CVS.COM,CVS ALBANY LLC
4603,CVS - 2218,585-581-5101,3750 MOUNT READ BOULEVARD,NA,ROCHESTER,NY,14616,3436,-77.658331,43.227241,HTTP://WWW.CVS.COM,CVS ALBANY LLC
6057,CVS - 2501,585-426-2991,2709 CHILI AVENUE,NA,ROCHESTER,NY,14624,4123,-77.709106,43.122328,HTTP://WWW.CVS.COM,CVS ALBANY LLC
4600,CVS - 466,585-244-4220,685 PARK AVENUE,NA,ROCHESTER,NY,14607,3017,-77.57744,43.147678,HTTP://WWW.CVS.COM,CVS ALBANY LLC
4601,CVS - 545,585-377-6170,2200 PENFIELD ROAD,PENN FAIR PLAZA,PENFIELD,NY,14526,1711,-77.439842,43.132637,HTTP://WWW.CVS.COM,CVS ALBANY LLC
5057,CVS - 547,585-271-5031,789 ELMWOOD AVENUE,NA,ROCHESTER,NY,14620,2946,-77.616952,43.124313,HTTP://WWW.CVS.COM,CVS ALBANY LLC
5338,CVS - 586,585-247-0170,525 SPENCERPORT ROAD,NA,ROCHESTER,NY,14606,4815,-77.705175,43.169679,HTTP://WWW.CVS.COM,CVS ALBANY LLC
4641,CVS - 592,585-461-3995,2100 MONROE AVENUE,NA,ROCHESTER,NY,14618,2408,-77.560946,43.123848,HTTP://WWW.CVS.COM,CVS ALBANY LLC
5970,CVS - 653,585-342-6100,1370 NORTON STREET,NORTH TOWN PLAZA,ROCHESTER,NY,14621,3936,-77.585521,43.187826,HTTP://WWW.CVS.COM,CVS ALBANY LLC
4012,CVS - 739,585-254-4670,1455 LAKE AVENUE,NA,ROCHESTER,NY,14615,3000,-77.629844,43.192932,HTTP://WWW.CVS.COM,CVS ALBANY LLC
4332,CVS - 753,585-288-4422,2300 EAST MAIN STREET,NA,ROCHESTER,NY,14609,7623,-77.54892,43.159809,HTTP://WWW.CVS.COM,CVS ALBANY LLC
4889,CVS - 755,585-461-3770,1900 SOUTH CLINTON AVENUE,NA,ROCHESTER,NY,14618,5621,-77.592656,43.120219,HTTP://WWW.CVS.COM,CVS ALBANY LLC
5032,CVS - 831,585-787-3571,935 RIDGE ROAD,NA,WEBSTER,NY,14580,2553,-77.464463,43.207248,HTTP://WWW.CVS.COM,CVS ALBANY LLC
4599,RITE AID - 10850,585-594-8700,4374 BUFFALO ROAD,NA,NORTH CHILI,NY,14514,1206,-77.806208,43.120313,HTTP://WWW.RITEAID.COM,RITE AID CORP.
4598,RITE AID - 1619,585-624-3500,135 WEST MAIN STREET,NA,HONEOYE FALLS,NY,14472,1103,-77.601909,42.949811,HTTP://WWW.RITEAID.COM,RITE AID OF NEW YORK INC
4597,RITE AID - 1722,585-436-1430,670 THURSTON ROAD,NA,ROCHESTER,NY,14619,2151,-77.650598,43.131615,HTTP://WWW.RITEAID.COM,RITE AID OF NEW YORK INC
4361,RITE AID - 1827,585-388-9410,2172 PENFIELD ROAD,NA,PENFIELD,NY,14526,1736,-77.442187,43.131294,HTTP://WWW.RITEAID.COM,RITE AID OF NEW YORK INC
5501,RITE AID - 189,585-352-4020,23 SLAYTON AVENUE,NA,SPENCERPORT,NY,14559,1427,-77.798486,43.190488,HTTP://WWW.RITEAID.COM,RITE AID OF NEW YORK INC
4596,RITE AID - 2464,585-342-2550,1233 EAST RIDGE ROAD,NA,ROCHESTER,NY,14621,2003,-77.584092,43.197208,HTTP://WWW.RITEAID.COM,RITE AID OF NEW YORK INC
4622,RITE AID - 3597,585-266-5930,535 PORTLAND AVENUE,NA,ROCHESTER,NY,14621,5117,-77.591458,43.175829,HTTP://WWW.RITEAID.COM,RITE AID OF NEW YORK INC
4594,RITE AID - 4894,585-544-7280,605 TITUS AVENUE,NA,ROCHESTER,NY,14617,3918,-77.60034,43.210132,HTTP://WWW.RITEAID.COM,RITE AID OF NEW YORK INC
5507,RITE AID - 602,585-244-1711,565 MONROE AVENUE,NA,ROCHESTER,NY,14607,3133,-77.593336,43.145292,HTTP://WWW.RITEAID.COM,RITE AID OF NEW YORK INC
4595,RITE AID - 613,585-647-2784,437 LYELL AVENUE,NA,ROCHESTER,NY,14606,1639,-77.638037,43.164395,HTTP://WWW.RITEAID.COM,RITE AID OF NEW YORK INC
4377,RITE AID - 614,585-865-2210,2918 DEWEY AVENUE,NA,ROCHESTER,NY,14616,4634,-77.640595,43.223129,HTTP://WWW.RITEAID.COM,RITE AID OF NEW YORK INC
5375,RITE AID - 615,585-235-2726,792 WEST MAIN STREET,NA,ROCHESTER,NY,14611,2343,-77.634062,43.151008,HTTP://WWW.RITEAID.COM,RITE AID OF NEW YORK INC
5539,RITE AID - 617,585-288-3000,1433 CULVER ROAD,NA,ROCHESTER,NY,14609,4235,-77.560638,43.171922,HTTP://WWW.RITEAID.COM,RITE AID OF NEW YORK INC
6064,RITE AID - 621,585-288-7600,804 NORTH GOODMAN STREET,NA,ROCHESTER,NY,14609,4640,-77.578954,43.168956,HTTP://WWW.RITEAID.COM,RITE AID OF NEW YORK INC
5891,RITE AID - 623,585-663-4240,1436 WEST RIDGE ROAD,NA,ROCHESTER,NY,14615,2411,-77.664898,43.205452,HTTP://WWW.RITEAID.COM,RITE AID OF NEW YORK INC
5664,RITE AID - 629,585-544-8210,1000 NORTH CLINTON AVENUE,NA,ROCHESTER,NY,14621,4526,-77.613022,43.177102,HTTP://WWW.RITEAID.COM,RITE AID OF NEW YORK INC
5533,TARGET,585-571-3980,3181 CHILI AVENUE,NA,ROCHESTER,NY,14624,5409,-77.746795,43.104251,HTTP://WWW.TARGET.COM,TARGET CORPORATION AND SUBSIDIARIES
4141,TARGET,585-225-1597,600 GREECE RIDGE CENTER DRIVE,NA,ROCHESTER,NY,14626,2825,-77.692234,43.202773,HTTP://WWW.TARGET.COM,TARGET CORPORATION AND SUBSIDIARIES
4108,TARGET,585-377-1196,2161 NORTH NINE MILE POINT ROAD,NA,FAIRPORT,NY,14450,8509,-77.443888,43.128131,HTTP://WWW.TARGET.COM,TARGET CORPORATION AND SUBSIDIARIES
5131,TARGET,585-424-2820,2325 MARKETPLACE DRIVE,NA,ROCHESTER,NY,14623,6009,-77.632423,43.077941,HTTP://WWW.TARGET.COM,TARGET CORPORATION AND SUBSIDIARIES
4140,TARGET,585-797-0090,500 MEDLEY CENTRE PARKWAY,NA,IRONDEQUOIT,NY,14622,2447,-77.574425,43.197505,HTTP://WWW.TARGET.COM,TARGET CORPORATION AND SUBSIDIARIES
5051,TARGET,585-216-3001,1050 RIDGE ROAD,NA,WEBSTER,NY,14580,2908,-77.450737,43.210961,HTTP://WWW.TARGET.COM,TARGET CORPORATION AND SUBSIDIARIES
4795,WALGREENS - 10382,585-594-5689,4366 BUFFALO ROAD,NA,NORTH CHILI,NY,14514,1206,-77.804726,43.120696,HTTP://WWW.WALGREENS.COM,WALGREEN CO
4796,WALGREENS - 10511,585-359-3250,2665 EAST HENRIETTA ROAD,NA,HENRIETTA,NY,14467,9370,-77.609199,43.067954,HTTP://WWW.WALGREENS.COM,WALGREEN CO.
4797,WALGREENS - 10512,585-266-8994,720 EAST RIDGE ROAD,NA,ROCHESTER,NY,14621,1719,-77.599618,43.196693,HTTP://WWW.WALGREENS.COM,WALGREEN CO
4798,WALGREENS - 11208,585-426-7307,3127 CHILI AVENUE,NA,ROCHESTER,NY,14624,4530,-77.743533,43.107755,HTTP://WWW.WALGREENS.COM,WALGREEN CO
4799,WALGREENS - 11377,585-360-1814,6707 PITTSFORD PALMYRA ROAD,NA,FAIRPORT,NY,14450,3442,-77.443065,43.069094,HTTP://WWW.WALGREENS.COM,WALGREEN CO
4801,WALGREENS - 9584,585-244-2160,1650 ELMWOOD AVENUE,NA,ROCHESTER,NY,14620,3418,-77.593418,43.126233,HTTP://WWW.WALGREENS.COM,WALGREEN CO
4802,WALGREENS - 9585,585-247-1710,430 SPENCERPORT ROAD,NA,ROCHESTER,NY,14606,5219,-77.700573,43.170133,HTTP://WWW.WALGREENS.COM,WALGREEN CO
4803,WALGREENS - 9758,585-338-3229,2100 EAST RIDGE ROAD,NA,IRONDEQUOIT,NY,14622,2641,-77.56121,43.204132,HTTP://WWW.WALGREENS.COM,WALGREEN CO
4804,WALGREENS - 9872,585-872-0690,1125 RIDGE ROAD,NA,WEBSTER,NY,14580,2909,-77.445847,43.209693,HTTP://WWW.WALGREENS.COM,WALGREEN CO
4800,WALGREENS - 9992,585-419-0560,1659 PENFIELD ROAD,NA,ROCHESTER,NY,14625,2549,-77.492037,43.132312,HTTP://WWW.WALGREENS.COM,WALGREEN CO
3696,WAL-MART - 1610,585-227-1210,100 ELMRIDGE CENTER DRIVE,NA,GREECE,NY,14626,3459,-77.724197,43.214602,HTTP://WWW.WALMART.COM,WAL-MART STORES EAST LP
5128,WAL-MART - 1744,585-787-1190,1902 EMPIRE BOULEVARD,NA,WEBSTER,NY,14580,1959,-77.498147,43.190429,HTTP://WWW.WALMART.COM,WAL-MART STORES EAST LP
5127,WAL-MART SUPERCENTER - 1619,585-292-0990,1200 MARKETPLACE DRIVE,NA,ROCHESTER,NY,14623,6002,-77.622726,43.080642,HTTP://WWW.WALMART.COM,WAL-MART STORES EAST LP
5126,WAL-MART SUPERCENTER - 2859,585-429-5190,2150 CHILI AVENUE,NA,ROCHESTER,NY,14624,3453,-77.689,43.133774,HTTP://WWW.WALMART.COM,WAL-MART STORES EAST LP
4997,WAL-MART SUPERCENTER - 3280,585-266-1640,1490 HUDSON AVENUE,NA,ROCHESTER,NY,14621,1701,-77.596791,43.194303,HTTP://WWW.WALMART.COM,WAL-MART STORES EAST LP
2633,WEGMANS,585-381-1305,3195 MONROE AVENUE,NA,ROCHESTER,NY,14618,4605,-77.543403,43.106546,HTTP://WWW.WEGMANS.COM,"WEGMANS FOOD MARKETS, INC"
2673,WEGMANS,585-359-2271,745 CALKINS ROAD,NA,ROCHESTER,NY,14623,4435,-77.612083,43.067014,HTTP://WWW.WEGMANS.COM,"WEGMANS FOOD MARKETS, INC"
2696,WEGMANS,585-426-2330,3175 CHILI AVENUE,NA,ROCHESTER,NY,14624,5423,-77.744142,43.104348,HTTP://WWW.WEGMANS.COM,"WEGMANS FOOD MARKETS, INC"
2626,WEGMANS,585-723-6020,2833 RIDGE ROAD WEST,NA,ROCHESTER,NY,14626,1632,-77.703677,43.208098,HTTP://WWW.WEGMANS.COM,"WEGMANS FOOD MARKETS, INC"
2532,WEGMANS,585-424-7350,650 HYLAN DRIVE,NA,ROCHESTER,NY,14623,4253,-77.627474,43.083465,HTTP://WWW.WEGMANS.COM,"WEGMANS FOOD MARKETS, INC"
2528,WEGMANS,585-671-4070,1955 EMPIRE BOULEVARD,NA,WEBSTER,NY,14580,1903,-77.504719,43.193446,HTTP://WWW.WEGMANS.COM,"WEGMANS FOOD MARKETS, INC"
2527,WEGMANS,585-429-5590,2301 LYELL AVENUE,NA,ROCHESTER,NY,14606,5735,-77.688352,43.163362,HTTP://WWW.WEGMANS.COM,"WEGMANS FOOD MARKETS, INC"
2695,WEGMANS,585-225-6111,3177 LATTA ROAD,NA,ROCHESTER,NY,14612,3094,-77.699305,43.250817,HTTP://WWW.WEGMANS.COM,"WEGMANS FOOD MARKETS, INC"
2627,WEGMANS,585-621-5600,3660 DEWEY AVENUE,NA,ROCHESTER,NY,14616,3026,-77.645044,43.23748,HTTP://WWW.WEGMANS.COM,"WEGMANS FOOD MARKETS, INC"
2561,WEGMANS,585-663-4190,3701 MOUNT READ BOULEVARD,NA,ROCHESTER,NY,14616,3450,-77.660618,43.226172,HTTP://WWW.WEGMANS.COM,"WEGMANS FOOD MARKETS, INC"
2636,WEGMANS,585-544-8550,2200 RIDGE ROAD EAST,NA,ROCHESTER,NY,14622,2644,-77.558616,43.204905,HTTP://WWW.WEGMANS.COM,"WEGMANS FOOD MARKETS, INC"
5137,WEGMANS,585-586-7922,851 FAIRPORT ROAD,NA,EAST ROCHESTER,NY,14445,1909,-77.483417,43.101926,HTTP://WWW.WEGMANS.COM,"WEGMANS FOOD MARKETS, INC"
3772,WEGMANS,585-248-3060,2157 PENFIELD ROAD,NA,PENFIELD,NY,14526,1735,-77.446535,43.128957,HTTP://WWW.WEGMANS.COM,"WEGMANS FOOD MARKETS, INC"
3825,WEGMANS,585-544-2900,525 TITUS AVENUE,NA,ROCHESTER,NY,14617,3501,-77.603239,43.207526,HTTP://WWW.WEGMANS.COM,"WEGMANS FOOD MARKETS, INC"
4928,WEGMANS,585-872-0880,900 HOLT ROAD,NA,WEBSTER,NY,14580,9102,-77.443676,43.213869,HTTP://WWW.WEGMANS.COM,"WEGMANS FOOD MARKETS, INC"
4302,WEGMANS,585-244-0220,1750 EAST AVENUE,NA,ROCHESTER,NY,14610,1828,-77.557139,43.146393,HTTP://WWW.WEGMANS.COM,"WEGMANS FOOD MARKETS, INC"
4567,WEGMANS,585-223-6480,6600 PITTSFORD PALMYRA ROAD,NA,FAIRPORT,NY,14450,3404,-77.445876,43.071375,HTTP://WWW.WEGMANS.COM,"WEGMANS FOOD MARKETS, INC"
,PLEASANT STREET APOTHECARY,585-241-9000,259 MONROE AVENUE,NA,ROCHESTER,NY,14607,3632,-77.599327,43.149232,HTTP://WWW.PLEASANTSTREETRX.COM,AC CENTER INC
,AMERICAN HOMEPATIENT,585-787-0100,1851 EMPIRE BOULEVARD,NA,WEBSTER,NY,14580,2109,-77.505013,43.189173,HTTP://WWW.AHOM.COM,"AMERICAN HOMEPATIENT OF NEW YORK, INC."
,FAIRPORT PHARMACY,585-678-4258,122 FAIRPORT VILLAGE LANDING,NA,FAIRPORT,NY,14450,1804,-77.44231,43.10112,NA,ATC CARE LLC
,UNITED STATES DEPARTMENT OF VETERAN AFFAIRS ROCHESTER COMMUNITY BASED OUTPATIENT CLINIC,585-463-2600,465 WESTFALL ROAD,NA,ROCHESTER,NY,14620,4645,-77.606379,43.11428,HTTP://WWW.CANANDAIGUA.VA.GOV/ROCHESTER.ASP,BUFFALO VAMC
,METRO HEALTH EAST PHARMACY,585-662-5562,153 WEST COMMERCIAL STREET,NA,EAST ROCHESTER,NY,14445,2151,-77.487061,43.113769,HTTP://WWW.METROEASTPHARMACY.COM,CHETTRA THAPA
,WARREN'S PHARMACY,585-235-3225,595 JEFFERSON AVENUE,NA,ROCHESTER,NY,14611,3555,-77.629494,43.143062,NA,CHHIPA ENTERPRISES INCORPORATED
,CHURCHVILLE PHARMACY,585-293-2717,42 SOUTH MAIN STREET,NA,CHURCHVILLE,NY,14428,NA,-77.884271,43.102865,NA,CHURCHVILLE PHARMACY INC
,CLINTON HEALTH MART PHARMACY,585-530-3570,821 NORTH CLINTON AVENUE,NA,ROCHESTER,NY,14605,1103,-77.613095,43.173567,HTTP://WWW.HEALTHMART.COM,"CLINTON PHARMACY SERVICES, LLC"
,SARATOGA PHARMACY,585-458-2326,192 LYELL AVENUE,NA,ROCHESTER,NY,14608,1317,-77.629634,43.164852,HTTP://SARATOGARX.COM,D GIGNAC INC
,FAIRPORT BAPTIST HOMES,585-388-2342,4646 NINE MILE POINT ROAD,NA,FAIRPORT,NY,14450,1163,-77.441183,43.109428,HTTP://FAIRPORTBAPTISTHOMES.ORG,FAIRPORT BAPTIST HOMES
,FARIS PHARMACY,585-663-6950,2050 LATTA ROAD,NA,ROCHESTER,NY,14612,3734,-77.666565,43.253769,NA,FARIS PHARMACY INC
,LIFETIME HEALTH MEDICAL GROUP - MARION B FOLSOM HEALTH CENTER,585-424-6210,1850 BRIGHTON HENRIETTA TOWN LINE ROAD,NA,ROCHESTER,NY,14623,2532,-77.627702,43.094778,HTTP://WWW.LIFETIMEHEALTH.ORG,GENESEE VALLEY GROUP HEALTH ASSOCIATION
,LIFETIME HEALTH MEDICAL GROUP,585-338-4973,800 CARTER STREET,JOSEPH C WILSON CENTER,ROCHESTER,NY,14621,2604,-77.590962,43.192469,HTTP://WWW.LIFETIMEHEALTH.ORG,GENESEE VALLEY GROUP HEALTH ASSOCIATION
,LIFETIME HEALTH MEDICAL GROUP - PERINTON HEALTH CENTER,585-248-5300,77 SULLYS TRAIL,NA,PITTSFORD,NY,14534,3754,-77.468006,43.060973,HTTP://WWW.LIFETIMEHEALTH.ORG,GENESEE VALLEY GROUP HEALTH ASSOCIATION
,LIFETIME HEALTH MEDICAL GROUP - GREECE HEALTH CENTER,585-227-7600,470 LONG POND ROAD,NA,ROCHESTER,NY,14612,3057,-77.695499,43.267342,HTTP://WWW.LIFETIMEHEALTH.ORG,GENESEE VALLEY GROUP HEALTH ASSOCIATION
,METCARE RX,585-235-2370,480 GENESEE STREET,NA,ROCHESTER,NY,14611,3634,-77.635757,43.140692,HTTP://WWW.WESTSIDEHEALTH.NET,"HMB PHARMACY MANAGEMENT ,LLC"
,METCARE RX,585-254-6480,322 LAKE AVENUE,NA,ROCHESTER,NY,14608,1017,-77.626928,43.171175,HTTP://WWW.WESTSIDEHEALTH.NET,"HMB PHARMACY MANAGEMENT ,LLC"
,UPSTATE HOMECARE,585-328-2050,200 AIRPARK DRIVE,SUITE 100,ROCHESTER,NY,14624,5716,-77.657885,43.115412,HTTP://WWW.UPSTATEHOMECARE.COM,INNOVATIVE SERVICES INC
,MENDON PHARMACY,585-624-8010,51 ASSEMBLY DRIVE,NA,MENDON,NY,14506,NA,-77.508656,43.000448,NA,JT TOMPKINS PHARMACIST LLC
,KMART,585-426-0820,810 PAUL ROAD,NA,ROCHESTER,NY,14624,4421,-77.747164,43.108556,HTTP://WWW.KMART.COM,K MART CORP
,KMART,585-787-0210,950 RIDGE ROAD,NA,WEBSTER,NY,14580,2568,-77.465292,43.209333,HTTP://WWW.KMART.COM,K MART CORP
,THE MEDICINE SHOPPE PHARMACY,585-266-5685,545 TITUS AVENUE,NA,ROCHESTER,NY,14617,3538,-77.601813,43.209811,HTTP://WWW.MEDICINESHOPPE.COM,KHAN PHARMACY INC
,LAKESIDE MEMORIAL HOSPITAL,585-395-6043,156 WEST AVENUE,NA,BROCKPORT,NY,14420,1229,-77.944557,43.220757,HTTP://WWW.LAKESIDEHEALTH.COM,LAKESIDE MEMORIAL HOSP PHCY INC
,LIFETIME PHARMACY,585-461-1314,2975 BRIGHTON HENRIETTA TOWN LINE ROAD,NA,ROCHESTER,NY,14623,2787,-77.596364,43.093863,HTTP://WWW.LIFETIMEHEALTH.ORG,LIFETIME PHARMACY LLC
,HIGHLAND SOUTH WEDGE PHARMACY,585-279-4790,777 SOUTH CLINTON AVENUE,NA,ROCHESTER,NY,14620,1401,-77.599193,43.142154,HTTP://WWW.URMC.ROCHESTER.EDU/HH/SERVICES-CENTERS/APOTHECARY,MEDICAL ADMINISTRATIVE ASSOCIATES
,ANTHONY L JORDAN HEALTH CENTER,585-423-5802,82 HOLLAND STREET,NA,ROCHESTER,NY,14605,2131,-77.602091,43.169459,HTTP://WWW.JORDANHEALTH.ORG,"MEDICAL ADMINISTRATIVE ASSOCIATES, INC."
,MONROE COMMUNITY HOSPITAL,585-760-6108,435 EAST HENRIETTA ROAD,NA,ROCHESTER,NY,14620,4629,-77.618077,43.113425,HTTP://WWW.MONROEHOSP.ORG,MONROE COMM HOSP PHCY
,MONROE PHARMACY LIMITED LIABILITY COMPANY,585-723-1755,2672 WEST RIDGE ROAD,NA,ROCHESTER,NY,14626,3027,-77.699472,43.210884,HTTP://WWW.MONROEOXYGEN.COM,MONROE PHARMACY LLC
,MILLERS PHARMACY,585-889-3510,201 SCOTTSVILLE WEST HENRIETTA ROAD,NA,WEST HENRIETTA,NY,14586,9540,-77.707685,43.035709,HTTP://WWW.MILLERSRX.COM,OLDE CANAL PHARMACY INC
,OMNICARE,585-482-4978,175 HUMBOLDT STREET,SUITE 225,ROCHESTER,NY,14610,1060,-77.564459,43.153583,HTTP://WWW.OMNICARE.COM,"OMNICARE OF NEW YORK, LLC"
,GENESEE CAMPUS APOTHECARY,585-368-3928,89 GENESEE STREET,NA,ROCHESTER,NY,14611,3201,-77.637143,43.148678,NA,PARK RIDGE APOTHECARY INC
,PARK RIDGE APOTHECARY,585-723-7340,1561 LONG POND ROAD,SUITE 104,ROCHESTER,NY,14626,4136,-77.704662,43.191055,NA,PARKRIDGE APOTHECARY INC
,PHARMHEALTH INFUSION,585-423-9580,172 ALEXANDER STREET,NA,ROCHESTER,NY,14607,3606,-77.597995,43.147628,HTTP://WWW.PHARMHEALTHINFUSION.COM,PHARMHEALTH INFUSION
,R DRUGS ETC,585-262-3760,222 ALEXANDER STREET,SUITE 2700,ROCHESTER,NY,14607,4046,-77.595715,43.150162,HTTP://WWW.RDRUGSETC.COM,"R. DRUGSETC, INC."
,THE GENERAL APOTHECARY,585-922-3970,1425 PORTLAND AVENUE,ROCHESTER GENERAL HOSPITAL,ROCHESTER,NY,14621,3001,-77.586287,43.192411,HTTP://WWW.ROCHESTERGENERAL.ORG,"ROCHESTER GENERAL HOSPITAL, INC"
,HILL HAVEN,585-922-2394,1550 EMPIRE BOULEVARD,NA,WEBSTER,NY,14580,2104,-77.507812,43.180268,HTTP://WWW.ROCHESTERGENERAL.ORG/SENIOR-SERVICES/HILL-HAVEN,ROCHESTER GENERAL LTC INC
,ROCHESTER PSYCHIATRIC CENTER,585-241-1200,1111 ELMWOOD AVENUE,NA,ROCHESTER,NY,14620,3005,-77.610346,43.12296,HTTP://WWW.OMH.STATE.NY.US/OMHWEB/FACILITIES/ROPC/FACILITY.HTM,ROCHESTER PSYCHIATRIC CENTER
,HILTON FAMILY PHARMACY,585-392-7979,32 MAIN STREET,NA,HILTON,NY,14468,1211,-77.792782,43.288267,HTTP://WWW.HILTONFAMILYPHARMACY.COM,ROSENKRANS PHARMACY INC
,SAM'S CLUB - 8178,585-723-3406,700 ELM RIDGE CENTER DRIVE,NA,ROCHESTER,NY,14626,3465,-77.72978,43.216631,HTTP://WWW.SAMSCLUB.COM,SAMS EAST INC
,SAM'S CLUB - 8179,585-427-8880,1600 MARKETPLACE DRIVE,NA,ROCHESTER,NY,14623,6003,-77.625965,43.077968,HTTP://WWW.SAMSCLUB.COM,SAMS EAST INC
,SAINT ANN'S HOME,585-697-6071,1500 PORTLAND AVENUE,NA,ROCHESTER,NY,14621,3065,-77.580887,43.193421,HTTP://WWW.STANNSCOMMUNITY.COM,ST ANNS HOME FOR THE AGED
,SAINT JOHN'S HOME,585-760-1300,150 HIGHLAND AVENUE,NA,ROCHESTER,NY,14620,3024,-77.609435,43.13079,HTTP://WWW.STJOHNSHOME.COM,ST JOHNS HEALTH CARE CORP
,STRONG MEMORIAL HOSPITAL-UNIVERSITY OF ROCHESTER LONG TERM CARE PHARMACY,585-442-7960,5901 LAC DE VILLE BOULEVARD,THE HIGHLANDS AT BRIGHTON,ROCHESTER,NY,14618,5600,-77.594177,43.112548,HTTP://WWW.STRONGHEALTH.COM/ABOUT/SENIORCARE/BRIGHTON.CFM,STRONG MEM HOSP
,TOPS,585-423-0789,285 UPPER FALLS BOULEVARD,NA,ROCHESTER,NY,14605,2184,-77.609589,43.169883,HTTP://WWW.TOPSMARKETS.COM,"TOPS MARKETS, LLC"
,TOPS,585-442-2143,1900 CLINTON AVENUE SOUTH,NA,ROCHESTER,NY,14618,5621,-77.592192,43.121157,HTTP://WWW.TOPSMARKETS.COM,"TOPS MARKETS, LLC"
,TOPS,585-227-7860,500 ELMRIDGE CENTER DRIVE,NA,ROCHESTER,NY,14626,3463,-77.727805,43.216635,HTTP://WWW.TOPSMARKETS.COM,"TOPS MARKETS, LLC"
,TOPS,585-467-1040,1455 RIDGE ROAD EAST,NA,ROCHESTER,NY,14621,2006,-77.577836,43.197451,HTTP://WWW.TOPSMARKETS.COM,"TOPS MARKETS, LLC"
,TOPS,585-425-0010,6720 PITTSFORD PALMYRA ROAD,NA,FAIRPORT,NY,14450,3344,-77.438662,43.070998,HTTP://WWW.TOPSMARKETS.COM,"TOPS MARKETS, LLC"
,TOPS,585-427-7614,1100 JEFFERSON ROAD,NA,ROCHESTER,NY,14623,3135,-77.605505,43.089262,HTTP://WWW.TOPSMARKETS.COM,"TOPS MARKETS, LLC"
,TOPS,716-254-2480,710 LAKE AVENUE,NA,ROCHESTER,NY,14613,2410,-77.630698,43.178355,HTTP://WWW.TOPSMARKETS.COM,"TOPS MARKETS, LLC"
,TOPS,585-512-4104,450 WEST AVENUE,NA,ROCHESTER,NY,14611,2542,-77.651199,43.151039,HTTP://WWW.TOPSMARKETS.COM,"TOPS MARKETS, LLC"
,TOPS,585-264-0824,1601 PENFIELD ROAD,NA,ROCHESTER,NY,14625,2322,-77.497236,43.133247,HTTP://WWW.TOPSMARKETS.COM,"TOPS MARKETS, LLC"
,TOPS,585-964-2933,1800 LAKE ROAD,NA,HAMLIN,NY,14464,9514,-77.918657,43.292545,HTTP://WWW.TOPSMARKETS.COM,"TOPS MARKETS, LLC"
,TOPS,585-663-4624,3507 MOUNT READ BOULEVARD,NA,ROCHESTER,NY,14616,4347,-77.662039,43.222809,HTTP://WWW.TOPSMARKETS.COM,"TOPS MARKETS, LLC"
,TOPS,585-288-9230,175 WINTON ROAD NORTH,NA,ROCHESTER,NY,14610,1936,-77.554636,43.147858,HTTP://WWW.TOPSMARKETS.COM,"TOPS MARKETS, LLC"
,TOPS,585-247-5425,2345 BUFFALO ROAD,NA,GATES,NY,14624,1305,-77.71171,43.146023,HTTP://WWW.TOPSMARKETS.COM,"TOPS MARKETS, LLC"
,UNIVERSITY OF ROCHESTER MEDICAL CENTERâ€™S DEPARTMENT OF PSYCHIATRY STRONG TIES COMMUNITY SUPPORT PROGRAM,585-279-4950,2613 WEST HENRIETTA ROAD,NA,ROCHESTER,NY,14623,2327,-77.632938,43.100047,HTTP://WWW.URMC.ROCHESTER.EDU/PSYCHIATRY/CLINICAL/SEVERE/STRONG.CFM,UNIVERSITY OF ROCHESTER MEDICAL CENTER
,UNIVERSITY OF ROCHESTER MEDICAL CENTER SURGERY CENTER,585-242-8762,180 SAWGRASS DRIVE,NA,ROCHESTER,NY,14620,4648,-77.609085,43.114117,HTTP://WWW.URMC.ROCHESTER.EDU/PATIENT-CARE/SURGERY-CENTER,"UNIVERSITY OF ROCHESTER, STRONG MEMORIAL HOSPITAL"
,STRONG MEMORIAL HOSPITAL OUTPATIENT PHARMACY,585-275-4931,601 ELMWOOD AVENUE,NA,ROCHESTER,NY,14642,1,-77.624132,43.122708,HTTP://WWW.URMC.ROCHESTER.EDU,"UNIVERSITY OF ROCHESTER, STRONG MEMORIAL HOSPITAL OUTPATIENT PHARMACY"
,WAB PHARMACY,585-323-1470,4414 CULVER ROAD,NA,ROCHESTER,NY,14622,1540,-77.545563,43.229132,NA,WAB PHARMACY INC
,12 CORNERS APOTHECARY,585-244-8659,1832 MONROE AVENUE,NA,ROCHESTER,NY,14618,1922,-77.56621,43.128214,HTTP://WWW.12CORNERSAPOTHECARY.COM,WILLIAM D WINKOWSKI INC
